Kỳ dữ liệu,Cặp phân tích,Chiều 1,Giá trị chiều 1,Chiều 2,Giá trị chiều 2,Cấp sản phẩm,Số dòng nguồn,Ads Cost (VND),Nguồn,Sheet,Dòng nguồn,Mapping version,Trạng thái coverage,Lý do,Bước xử lý
2026-03,Phễu × Sản phẩm,Phễu,TOFU,Sản phẩm,Cát Sắn Natural,Nhóm sản phẩm,3,2183688,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,"8,12,15",Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-03,Phễu × Sản phẩm,Phễu,TOFU,Sản phẩm,Cát Mix PerformX,Nhóm sản phẩm,1,748746,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,22,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-03,Phễu × Sản phẩm,Phễu,TOFU,Sản phẩm,Cát Khoáng MineralX,Nhóm sản phẩm,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-03,Phễu × Sản phẩm,Phễu,TOFU,Sản phẩm,Cát Đậu Nành Mix Khoáng PowerX,Nhóm sản phẩm,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-03,Phễu × Sản phẩm,Phễu,TOFU,Sản phẩm,Cát Sắn Mix Đậu Nành Tofuu.X,Nhóm sản phẩm,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-03,Phễu × Sản phẩm,Phễu,TOFU,Sản phẩm,Cát nói chung,Ngành hàng,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-03,Phễu × Sản phẩm,Phễu,TOFU,Sản phẩm,Shared/Unmapped,Shared/Unmapped,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-03,Phễu × Sản phẩm,Phễu,MOFU,Sản phẩm,Vi sinh khử mùi,Nhóm sản phẩm,1,2492392,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,16,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-03,Phễu × Sản phẩm,Phễu,MOFU,Sản phẩm,Cát Sắn Natural,Nhóm sản phẩm,4,11616569,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,"9,10,11,14",Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-03,Phễu × Sản phẩm,Phễu,MOFU,Sản phẩm,Cát Mix PerformX,Nhóm sản phẩm,3,9346528,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,"18,19,21",Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-03,Phễu × Sản phẩm,Phễu,MOFU,Sản phẩm,Cát Khoáng MineralX,Nhóm sản phẩm,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-03,Phễu × Sản phẩm,Phễu,MOFU,Sản phẩm,Cát Đậu Nành Mix Khoáng PowerX,Nhóm sản phẩm,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-03,Phễu × Sản phẩm,Phễu,MOFU,Sản phẩm,Cát Sắn Mix Đậu Nành Tofuu.X,Nhóm sản phẩm,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-03,Phễu × Sản phẩm,Phễu,MOFU,Sản phẩm,Cát nói chung,Ngành hàng,2,13010164,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,"6,7",Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-03,Phễu × Sản phẩm,Phễu,MOFU,Sản phẩm,Shared/Unmapped,Shared/Unmapped,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-03,Phễu × Sản phẩm,Phễu,BOFU,Sản phẩm,Vi sinh khử mùi,Nhóm sản phẩm,1,7393707,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,20,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-03,Phễu × Sản phẩm,Phễu,BOFU,Sản phẩm,Cát Sắn Natural,Nhóm sản phẩm,1,1622641,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,13,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-03,Phễu × Sản phẩm,Phễu,BOFU,Sản phẩm,Cát Mix PerformX,Nhóm sản phẩm,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-03,Phễu × Sản phẩm,Phễu,BOFU,Sản phẩm,Cát Khoáng MineralX,Nhóm sản phẩm,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-03,Phễu × Sản phẩm,Phễu,BOFU,Sản phẩm,Cát Đậu Nành Mix Khoáng PowerX,Nhóm sản phẩm,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-03,Phễu × Sản phẩm,Phễu,BOFU,Sản phẩm,Cát Sắn Mix Đậu Nành Tofuu.X,Nhóm sản phẩm,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-03,Phễu × Sản phẩm,Phễu,BOFU,Sản phẩm,Cát nói chung,Ngành hàng,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-03,Phễu × Sản phẩm,Phễu,BOFU,Sản phẩm,Shared/Unmapped,Shared/Unmapped,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-04,Phễu × Sản phẩm,Phễu,TOFU,Sản phẩm,Vi sinh khử mùi,Nhóm sản phẩm,2,1632335,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,"56,62",Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-04,Phễu × Sản phẩm,Phễu,TOFU,Sản phẩm,Cát Sắn Natural,Nhóm sản phẩm,3,2017623,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,"26,47,54",Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-04,Phễu × Sản phẩm,Phễu,TOFU,Sản phẩm,Cát Mix PerformX,Nhóm sản phẩm,5,484987,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,"41,42,43,44,45",Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-04,Phễu × Sản phẩm,Phễu,TOFU,Sản phẩm,Cát Khoáng MineralX,Nhóm sản phẩm,4,377547,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,"32,33,34,35",Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-04,Phễu × Sản phẩm,Phễu,TOFU,Sản phẩm,Cát Đậu Nành Mix Khoáng PowerX,Nhóm sản phẩm,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-04,Phễu × Sản phẩm,Phễu,TOFU,Sản phẩm,Cát Sắn Mix Đậu Nành Tofuu.X,Nhóm sản phẩm,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-04,Phễu × Sản phẩm,Phễu,TOFU,Sản phẩm,Cát nói chung,Ngành hàng,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-04,Phễu × Sản phẩm,Phễu,TOFU,Sản phẩm,Shared/Unmapped,Shared/Unmapped,1,96919,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,51,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-04,Phễu × Sản phẩm,Phễu,MOFU,Sản phẩm,Vi sinh khử mùi,Nhóm sản phẩm,1,3290341,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,55,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-04,Phễu × Sản phẩm,Phễu,MOFU,Sản phẩm,Cát Sắn Natural,Nhóm sản phẩm,5,19471162,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,"27,46,53,63,64",Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-04,Phễu × Sản phẩm,Phễu,MOFU,Sản phẩm,Cát Mix PerformX,Nhóm sản phẩm,5,4188999,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,"36,37,38,39,40",Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-04,Phễu × Sản phẩm,Phễu,MOFU,Sản phẩm,Cát Khoáng MineralX,Nhóm sản phẩm,4,3064095,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,"28,29,30,31",Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-04,Phễu × Sản phẩm,Phễu,MOFU,Sản phẩm,Cát Đậu Nành Mix Khoáng PowerX,Nhóm sản phẩm,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-04,Phễu × Sản phẩm,Phễu,MOFU,Sản phẩm,Cát Sắn Mix Đậu Nành Tofuu.X,Nhóm sản phẩm,,,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Chưa quan sát tổ hợp trong phạm vi đã kiểm tra,Không có dòng Campaign được gắn vào tổ hợp này; không được đổi thành Ads Cost = 0.,Giữ giá trị trống; xác nhận lại sau khi mapping được duyệt hoặc có nguồn chi tiết hơn.
2026-04,Phễu × Sản phẩm,Phễu,MOFU,Sản phẩm,Cát nói chung,Ngành hàng,2,7547101,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,"24,25",Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-04,Phễu × Sản phẩm,Phễu,MOFU,Sản phẩm,Shared/Unmapped,Shared/Unmapped,7,15174121,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,"48,49,50,57,58,59,60",Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
2026-04,Phễu × Sản phẩm,Phễu,BOFU,Sản phẩm,Vi sinh khử mùi,Nhóm sản phẩm,1,5390351,JOYCAT_CAMPAIGN_3_THANG_CO_CHI_PHI_OBJECTIVE_DEMO.xlsx,Campaign_3_tháng,61,Phễu: chưa khóa; Sản phẩm: inference_name_v0,Tính được một phần bằng human mapping,Phễu và nhóm sản phẩm được gắn/suy luận trên cùng dòng Campaign; chưa xác minh tới listing/SKU.,Khóa rule/version Phễu và owner duyệt mapping nhóm sản phẩm; xin Ads ID → Item ID/SKU nếu cần xuống listing.
